metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
vus,1619802202,5.000000,,,,,,,,,,,,,,,
vus_max,1619802202,5.000000,,,,,,,,,,,,,,,
vus,1619802203,5.000000,,,,,,,,,,,,,,,
vus_max,1619802203,5.000000,,,,,,,,,,,,,,,
vus,1619802204,5.000000,,,,,,,,,,,,,,,
vus_max,1619802204,5.000000,,,,,,,,,,,,,,,
vus,1619802205,5.000000,,,,,,,,,,,,,,,
vus_max,1619802205,5.000000,,,,,,,,,,,,,,,
vus,1619802206,5.000000,,,,,,,,,,,,,,,
vus_max,1619802206,5.000000,,,,,,,,,,,,,,,
vus,1619802207,5.000000,,,,,,,,,,,,,,,
vus_max,1619802207,5.000000,,,,,,,,,,,,,,,
vus,1619802208,5.000000,,,,,,,,,,,,,,,
vus_max,1619802208,5.000000,,,,,,,,,,,,,,,
vus,1619802209,5.000000,,,,,,,,,,,,,,,
vus_max,1619802209,5.000000,,,,,,,,,,,,,,,
vus,1619802210,5.000000,,,,,,,,,,,,,,,
vus_max,1619802210,5.000000,,,,,,,,,,,,,,,
vus,1619802211,5.000000,,,,,,,,,,,,,,,
vus_max,1619802211,5.000000,,,,,,,,,,,,,,,
vus,1619802212,5.000000,,,,,,,,,,,,,,,
vus_max,1619802212,5.000000,,,,,,,,,,,,,,,
http_reqs,1619802212,1.000000,,,,true,,POST,http://201.216.239.79:5000/test-liveness,HTTP/1.0,default,,200,,,http://201.216.239.79:5000/test-liveness,
http_req_duration,1619802212,11156.999400,,,,true,,POST,http://201.216.239.79:5000/test-liveness,HTTP/1.0,default,,200,,,http://201.216.239.79:5000/test-liveness,
http_req_blocked,1619802212,54.421800,,,,true,,POST,http://201.216.239.79:5000/test-liveness,HTTP/1.0,default,,200,,,http://201.216.239.79:5000/test-liveness,
http_req_connecting,1619802212,53.421800,,,,true,,POST,http://201.216.239.79:5000/test-liveness,HTTP/1.0,default,,200,,,http://201.216.239.79:5000/test-liveness,
http_req_tls_handshaking,1619802212,0.000000,,,,true,,POST,http://201.216.239.79:5000/test-liveness,HTTP/1.0,default,,200,,,http://201.216.239.79:5000/test-liveness,
http_req_sending,1619802212,278.758800,,,,true,,POST,http://201.216.239.79:5000/test-liveness,HTTP/1.0,default,,200,,,http://201.216.239.79:5000/test-liveness,
http_req_waiting,1619802212,10875.306900,,,,true,,POST,http://201.216.239.79:5000/test-liveness,HTTP/1.0,default,,200,,,http://201.216.239.79:5000/test-liveness,
http_req_receiving,1619802212,2.933700,,,,true,,POST,http://201.216.239.79:5000/test-liveness,HTTP/1.0,default,,200,,,http://201.216.239.79:5000/test-liveness,
http_req_failed,1619802212,0.000000,,,,true,,POST,http://201.216.239.79:5000/test-liveness,HTTP/1.0,default,,200,,,http://201.216.239.79:5000/test-liveness,
